,magnitude,cdi,mmi,sig,nst,dmin,gap,magType,depth,alert
0,7.0,8,7,768,117,0.509,17.0,mww,14.0,green
1,6.9,4,4,735,99,2.229,34.0,mww,25.0,green
2,7.0,3,3,755,147,3.125,18.0,mww,579.0,green
3,7.3,5,5,833,149,1.865,21.0,mww,37.0,green
4,6.6,0,2,670,131,4.996,27.0,mww,624.5,green
5,7.0,4,3,755,142,4.58,26.0,mwb,660.0,green
6,6.8,1,3,711,136,4.68,22.0,mww,630.5,green
7,6.7,7,6,797,145,1.151,37.0,mww,20.0,green
8,6.8,8,7,1179,175,2.137,92.0,mww,20.0,yellow
9,7.6,9,8,1799,271,1.153,69.0,mww,26.94,yellow
10,6.9,9,9,887,215,0.401,34.0,mww,10.0,yellow
11,6.5,7,7,756,178,0.43,54.0,mww,10.0,green
12,7.0,7,5,761,192,2.977,45.0,mww,137.0,green
13,7.6,8,8,965,272,3.158,12.0,mww,116.0,yellow
14,6.6,9,8,1043,141,8.45,34.0,mww,12.0,orange
15,6.6,7,6,672,68,5.293,34.0,mww,30.0,green
16,7.0,9,8,1351,152,5.277,22.0,mww,33.72,yellow
17,6.5,3,2,653,236,1.999,31.0,mww,622.5,green
18,7.2,7,5,876,144,2.494,40.0,mww,236.0,green
19,6.9,2,5,733,127,0.371,45.0,mww,10.0,green
20,6.8,6,5,762,162,1.505,30.0,mww,220.0,green
21,6.6,6,5,762,0,0.914,94.0,mww,27.0,green
22,7.0,6,4,763,0,2.705,26.0,mww,10.0,green
23,6.9,6,4,738,0,2.697,42.0,mww,10.0,green
24,6.7,8,7,806,0,0.289,32.0,mww,24.0,green
25,7.3,9,8,2397,0,2.936,29.0,mww,41.0,red
26,6.7,9,6,708,0,2.188,43.0,mww,28.0,green
27,6.6,2,7,670,0,0.827,46.0,mww,24.0,green
28,6.8,2,3,712,0,5.78,12.0,mww,535.0,green
29,6.5,8,6,690,0,3.025,22.0,mww,110.0,green
30,6.5,7,4,651,0,1.088,57.0,mww,8.0,green
31,6.6,8,6,785,0,2.418,22.0,mww,33.0,green
34,6.6,8,5,674,0,0.507,49.0,mww,19.0,green
37,6.8,7,6,730,0,0.92,61.0,mww,20.0,green
38,6.6,6,6,976,0,1.168,21.0,mww,21.0,green
39,6.6,9,8,1012,0,2.686,13.0,mww,13.0,orange
40,7.3,8,7,921,0,3.713,19.0,mww,165.5,green
41,7.3,9,5,854,0,1.025,32.0,mww,14.27,green
42,7.5,8,8,1094,0,4.95,40.0,mww,126.0,yellow
43,6.6,7,4,688,0,3.26,15.0,mww,12.0,green
44,6.9,8,6,995,0,0.0,0.0,mww,51.6,green
45,6.9,4,3,740,0,4.777,31.0,mww,535.0,green
46,7.3,4,4,826,0,4.492,32.0,mww,527.0,green
47,6.5,7,5,684,0,0.993,114.0,mww,21.0,green
48,7.0,8,8,2504,0,0.07,43.0,mww,20.0,red
49,7.1,1,4,776,0,9.8,32.0,mww,6.0,green
50,6.6,1,3,670,0,8.87,19.0,mww,7.0,green
51,6.9,8,7,741,0,0.579,54.0,mww,93.0,green
52,6.9,6,4,734,0,8.36,48.0,mww,16.7,green
53,7.2,9,8,2331,0,1.178,23.0,mww,10.0,red
54,6.9,5,4,738,0,0.0,0.0,mww,33.3,green
55,6.9,5,4,738,0,1.173,36.0,mww,20.73,green
56,8.1,0,7,1009,0,7.465,78.0,mww,22.8,green
57,7.5,9,6,868,0,7.227,38.0,mww,47.22,green
58,7.1,9,7,846,0,1.273,25.0,mww,55.12,green
59,8.2,8,6,1237,0,0.875,66.0,mww,46.66,green
60,8.2,8,7,1252,0,0.0,0.0,mww,35.0,yellow
61,6.7,8,5,935,0,8.14,12.0,mww,110.0,green
62,6.7,6,6,830,0,1.395,61.0,mww,10.0,green
63,6.5,0,4,650,0,7.992,24.0,mww,25.0,green
64,6.5,5,7,652,0,4.52,44.0,mww,10.0,green
65,7.3,9,9,1025,0,4.656,9.0,mww,10.0,orange
66,6.7,8,4,698,0,1.487,37.0,mww,11.0,green
67,6.7,9,3,694,0,10.67,45.0,mww,10.0,green
68,6.9,7,6,919,0,2.62,35.0,mww,43.0,green
69,6.5,4,4,651,0,5.93,20.0,mww,246.0,green
70,6.5,6,4,652,0,10.41,19.0,mww,301.0,green
71,7.0,7,7,1052,0,2.379,35.0,mww,43.0,yellow
72,6.6,5,5,672,0,3.184,18.0,mww,13.23,green
73,6.5,0,4,650,0,11.766,25.0,mwb,24.0,green
74,8.1,9,8,1021,0,0.739,21.0,mww,28.94,green
75,7.4,3,7,843,0,0.437,30.0,mww,43.0,green
76,7.3,7,6,932,0,0.918,24.0,mww,10.0,green
77,7.1,9,8,1612,0,3.086,11.0,mww,43.97,orange
78,7.7,9,4,918,0,7.99,15.0,mww,10.0,green
79,6.9,9,5,739,0,1.55,16.0,mww,15.0,green
80,7.0,7,5,802,0,2.82,15.0,mww,80.0,green
81,6.7,8,8,776,0,2.043,22.0,mww,10.0,green
82,6.7,5,5,776,0,1.319,19.0,mww,10.0,green
83,7.0,8,7,1527,0,1.518,18.0,mww,21.0,orange
84,7.6,9,7,1165,0,0.23,36.0,mww,28.38,yellow
85,6.9,0,3,732,0,11.26,16.0,mww,10.0,green
86,6.5,6,6,674,0,0.388,49.0,mww,16.0,green
87,6.8,6,7,824,0,0.312,69.0,mww,21.0,green
88,6.5,4,5,651,0,15.39,31.0,mww,10.0,green
89,6.9,4,3,749,0,2.268,20.0,mww,624.0,green
90,6.9,4,4,735,0,1.716,25.0,mww,26.0,green
